无论如何	foce
不知不觉	dqdi
无能为力	fvox
不好意思	dcij
莫名其妙	srdc
无可奈何	fage
不可思议	dajo
兴高采烈	ioed
实事求是	oafj
成千上万	dwkf
自言自语	tuto
不由自主	dkto
情不自禁	ydtf
轰轰烈烈	hhdd
归根到底	ufhu
形形色色	ffyy
各式各样	egef
一模一样	ffff
眼花缭乱	msvr
总而言之	usup
彻头彻尾	rsrb
社会主义	utoo
前所未有	uihs
丰富多彩	dore
因地制宜	nhwo
众所周知	tiwq
自力更生	txfw
小心翼翼	myxx
兴致勃勃	ihdd
不约而同	dvsk
错综复杂	tvqy
理所当然	gimw
可想而知	afsq
应运而生	ussw
大吃一惊	glfy
相辅相成	fhfd
自然而然	twsw
触目惊心	ymyy
恍然大悟	ywgy
国计民生	nocw
目瞪口呆	mmll
喜出望外	hxur
心甘情愿	ysys
漫不经心	idvy
异口同声	clkh
津津有味	iisl
出谋划策	xogq
全神贯注	tubi
得心应手	ryut
人山人海	tjti
出其不意	xddi
混为一谈	iofo
美不胜收	udwx
资本主义	sfoo
澳大利亚	igra
帝国主义	onoo
千方百计	wodo
全心全意	tyti
坚定不移	nodr
想方设法	fooi
四面八方	ngto
不以为然	dxow
突如其来	pcdf
聚精会神	aptu
显而易见	jsjk
求同存异	fksc
讨价还价	oede
百花齐放	dspo
兢兢业业	ddnn
断断续续	ppvv
争先恐后	ywfe
轻而易举	hsji
众志成城	thdh
大起大落	gdgs
推陈出新	acxi
顺理成章	qgdi
战战兢兢	mmdd
赏心悦目	nyym
一针见血	ftkq
水落石出	ksdx
跃跃欲试	nnto
适得其反	rrde
措手不及	atdv
不亦乐乎	dptq
前无古人	ufdt
别具一格	lmff
崇山峻岭	jjjj
肝胆相照	wwfj
出类拔萃	xpas
川流不息	qidt
瞬息万变	mtfp
首屈一指	ubfa
爱不释手	edqt
蛛丝马迹	kvxp
叱咤风云	llqs
不谋而合	dosy
心血来潮	yqfi
知己知彼	qbqr
欲罢不能	tmdv
遍体鳞伤	ieqe
感同身受	dkwe
青梅竹马	hfqx
旁观者清	obhi
行尸走肉	rbdk
聪明才智	ajaq
巴勒斯坦	cgdh
艰苦奋斗	bsgs
古今中外	dtlr
截然不同	dwdk
当局者迷	mbhp
独立自主	rito
气喘吁吁	qlll
中华民族	leco
少数民族	mpco
知识分子	qotv
资产阶级	sicv
巴基斯坦	cddh
爱国主义	enoo
不正之风	dfpq
通货膨胀	beww
上层建筑	kbxq
脚踏实地	wnoh
息息相关	ttfu
义不容辞	odpr
惊心动魄	yyse
供不应求	eduf
家家户户	ooii
出人意料	xtip
迫不及待	edvr
久而久之	ysyp
翻天覆地	qfdh
没完没了	ioiv
自始至终	tchv
难能可贵	bval
日日夜夜	jjoo
耐人寻味	stxl
视而不见	usdk
五颜六色	fioy
取长补短	atpq
独一无二	rffs
堂堂正正	nnff
居安思危	bojy
惊天动地	yfsh
欣欣向荣	eers
随心所欲	cyit
微不足道	rdnu
一成不变	fddp
拨乱反正	aref
锲而不舍	tsdt
若无其事	sfda
鞠躬尽瘁	gwbp
针锋相对	ttfb
不择手段	date
可歌可泣	aaai
脱胎换骨	wwam
天经地义	fvho
手忙脚乱	tywr
忍无可忍	bfab
梦寐以求	foxf
走投无路	dafn
轻描淡写	haiy
至高无上	hofk
迎刃而解	tbsy
口口声声	llhh
念念不忘	ttdu
无忧无虑	fyfm
锦上添花	tkis
难以置信	bxme
翻来覆去	qfdh
学以致用	ixht
明目张胆	jmvw
五光十色	fmdy
天涯海角	fiiy
心安理得	yogr
冰天雪地	sfdh
生生不息	wwdt
销声匿迹	thgp
长此以往	tnxr
同舟共济	kqsi
惊涛骇浪	yixi
无独有偶	frse
心急如焚	yycf
面目全非	gmtl
面红耳赤	gvah
意气风发	iqqx
酸甜苦辣	grso
防不胜防	cdwc
天翻地覆	fqhd
皆大欢喜	rgbh
非同小可	lkma
死去活来	dhif
花团锦簇	sntq
心服口服	ywlw
顶天立地	afih
不可一世	dafh
大千世界	gwhj
灭顶之灾	fapo
如出一辙	cxfh
自欺欺人	tddt
轻重缓急	hqvy
无人问津	ftpi
死心塌地	dyhh
改头换面	bsag
异想天开	cfff
怨天尤人	rfdt
争分夺秒	ytgr
狼吞虎咽	rfml
投机倒把	afea
有生之年	swpq
应接不暇	uadj
风和日丽	qrjf
灯红酒绿	uviv
后起之秀	edpr
海阔天空	ipfp
斤斤计较	eeoh
孤注一掷	vifa
分道扬镳	tuat
严阵以待	acxr
所向披靡	irap
形影不离	fjdp
鸟语花香	yosr
行云流水	rsik
前功尽弃	ufbo
信誓旦旦	eajj
背水一战	ukfm
甜言蜜语	ruoo
指日可待	ajar
焦头烂额	wsuo
适可而止	rasn
杯水车薪	fkhs
张牙舞爪	vhqe
各有千秋	eswr
筋疲力尽	qpxb
情有可原	ysas
前车之鉴	uhpn
众望所归	tuiu
风花雪月	qsdw
势均力敌	ahxr
望尘莫及	umsv
战无不胜	mfdw
异曲同工	ckkf
闭门造车	ppwh
勾心斗角	wysy
断章取义	piao
多多益善	rruu
花花公子	sstv
趁火打劫	duah
招兵买马	aevx
招摇撞骗	aaax
天长地久	fthy
鬼斧神工	wtuf
如影随形	cjcf
塞翁失马	otqx
干干净净	hhss
清清楚楚	iiff
西伯利亚	dera
竭尽全力	ibtx
不可多得	darr
共产党员	sinl
无产阶级	ficv
共产主义	sioo
计划生育	ogwo
人道主义	tuoo
引人注目	vtim
二氧化碳	sqed
卓有成效	msdo
日新月异	jiwc
见义勇为	kobo
弄虚作假	gmee
长治久安	tiyo
名副其实	rfdo
后顾之忧	espy
喜闻乐见	hptk
层出不穷	bxdp
得天独厚	rfrs
不知所措	dqia
再接再厉	gags
发扬光大	xamg
以身作则	xwek
耳目一新	amfi
不动声色	dshy
高瞻远瞩	omfm
刻不容缓	odpv
潜移默化	irne
持之以恒	apxy
力所能及	xivv
此起彼伏	ndre
生机勃勃	wfdd
焕然一新	uwfi
名列前茅	rdus
光合作用	myet
归根结底	ufvu
尽如人意	bcti
大有可为	gsao
刮目相看	rmft
男女老少	jchm
意味深长	ilit
迫在眉睫	esbm
不言而喻	dusl
时时刻刻	jjoo
朝气蓬勃	dqsd
不屈不挠	dbda
喜气洋洋	hqii
淋漓尽致	iibh
铺天盖地	tfuh
胡思乱想	djrf
随时随地	cjch
大刀阔斧	gbpt
屡见不鲜	bkdq
提心吊胆	aylw
畅所欲言	kitu
一帆风顺	fmqq
方兴未艾	oihs
默默无闻	nnfp
背道而驰	uusx
直截了当	ddvm
不遗余力	dltx
深入浅出	irix
大惊小怪	gymy
根深蒂固	fisn
精益求精	pufp
勤工俭学	gfei
未雨绸缪	hdvv
责无旁贷	hfoe
纷至沓来	vhkf
各抒己见	eabk
雪上加霜	dkxd
掉以轻心	axhy
熙熙攘攘	ggaa
心满意足	yiin
刻骨铭心	omty
新陈代谢	iceo
肆无忌惮	hfby
燃眉之急	ubpy
无济于事	fifa
死灰复燃	dsqu
别有用心	lsty
郁郁葱葱	ssss
因势利导	narc
居高临下	bona
雪中送炭	dluj
应有尽有	usbs
哭笑不得	lqdr
胸有成竹	wsdq
雨后春笋	degq
力不从心	xdty
喜怒哀乐	hcot
咄咄逼人	llft
谈何容易	oepj
开门见山	fpkj
心平气和	yhqr
呕心沥血	lyiq
高高在上	oosk
坚韧不拔	nada
引人入胜	vtrw
心不在焉	ydsf
对症下药	bpas
脱口而出	wlsx
载歌载舞	dadq
相提并论	fauo
水泄不通	kidb
夜以继日	oxvj
扬长避短	atbq
不拘一格	daff
千变万化	wpfe
事半功倍	aufe
救死扶伤	fdae
缺一不可	wfda
勇往直前	brdu
无可厚非	fasl
后来居上	efbk
交相辉映	ofmj
车水马龙	hkxd
深恶痛绝	iapv
现身说法	gwoi
赞不绝口	wdvl
无所适从	firt
名正言顺	rfuq
从容不迫	tpde
目不暇接	mdja
合情合理	yyyg
了如指掌	vcan
设身处地	oweh
蒸蒸日上	ssjk
身先士卒	wwho
手足无措	tnfa
精打细算	pavq
夜深人静	oith
举一反三	ifef
目不转睛	mdhm
衣食住行	oyer
土生土长	hwht
相依为命	feoy
可有可无	asaf
货真价实	edeo
半信半疑	ueur
得不偿失	rdeq
哗众取宠	ltao
如数家珍	cpog
不足为奇	dnog
励精图治	spni
不计其数	dodp
不假思索	dejd
来龙去脉	fdhw
不容置疑	dpmr
无精打采	fpae
群策群力	xqxx
卷土重来	uhqf
牛鬼蛇神	wwku
我行我素	qrqh
绳之以法	vpxi
首当其冲	umds
无所事事	fiaa
望而却步	ushn
别出心裁	lxyd
无中生有	flws
不在话下	dsoa
手舞足蹈	tqnn
心旷神怡	yjuy
置之不理	mpdg
风起云涌	qdsi
苦口婆心	sliy
依依不舍	eedt
绝无仅有	vfes
事与愿违	assa
推波助澜	aimi
在所难免	siby
不了了之	dvvp
街头巷尾	rssb
进退两难	svfb
装模作样	ufef
诗情画意	oyfi
痛定思痛	pojp
休养生息	euwt
大有人在	gsts
不可开交	dafo
气急败坏	qykh
恼羞成怒	yudc
平心而论	hyso
烟消云散	uiss
大同小异	gkmc
扬眉吐气	ablq
捉襟见肘	apkw
自相矛盾	tfce
惨不忍睹	ydbm
无拘无束	faff
冲锋陷阵	stcc
只争朝夕	lydr
置若罔闻	mskp
为所欲为	oito
风驰电掣	qxkw
鳞次栉比	qsfr
倾家荡产	eosi
不一而足	dfsn
自食其力	tydx
罪魁祸首	mwuu
世外桃源	hrfi
不相上下	dfka
物美价廉	wueu
微乎其微	rqdr
杂乱无章	yrfi
拭目以待	amxr
自给自足	tvtn
柳暗花明	fjsj
粗制滥造	pwiw
迫不得已	edrb
头头是道	ssju
得过且过	rama
恰如其分	ycdt
啼笑皆非	lqrl
瞠目结舌	mmvr
旷日持久	jjay
支离破碎	dpdd
扣人心弦	atyv
每况愈下	qsta
不寒而栗	dosd
悲欢离合	lbpy
天衣无缝	fofv
按部就班	aiog
无懈可击	fyaa
半途而废	utsu
就事论事	oaoa
当机立断	mfip
一鸣惊人	flyt
因材施教	nfoh
左右为难	ssob
粉身碎骨	pwdm
井井有条	ssse
危言耸听	yutl
前赴后继	udev
随波逐流	cidi
名不虚传	rdme
昙花一现	jsfg
望而生畏	uswj
言简意赅	uqik
青黄不接	hsda
偷工减料	efsp
东山再起	ajgd
模棱两可	fffa
稍纵即逝	rvxa
虎视眈眈	mumm
光明正大	mjfg
柴米油盐	npih
害群之马	oxpx
言传身教	uewh
头破血流	sdqi
纸上谈兵	vkoe
胆战心惊	wmyy
患难与共	lbss
活灵活现	ixig
水深火热	kiua
天伦之乐	fept
鸡毛蒜皮	brsv
失之交臂	qpob
数不胜数	pdwp
不堪回首	dhnu
风平浪静	qhih
