一	[一,yī_yí_yì,GB0]
丁	[丁,dīng_zhēng,GB0]
七	[七,qī_qí,GB0]
万	[一勹,wàn_mò,GB0]
丈	[{左上}乀,zhàng,GB0]
三	[三,sān,GB0]
上	[上,shàng_shǎng,GB0]
下	[下,xià,GB0]
丌	[丌,jī_qí,GB0]
不	[不,bù_fǒu_fōu_fū_bú,GB0]
与	[丂一,yǔ_yù_yú,GB0]
丐	[丅一㇉,gài,GB0]
丑	[丑,chǒu,GB0]
专	[二㇉丶,zhuān,GB0]
且	[且,qiě_jū_cú,GB0]
丕	[不一,pī,GB0]
世	[世,shì,GB0]
丘	[斤一,qiū,GB0]
丙	[一冂人,bǐng_bìng,GB0]
业	[业,yè,GB0]
丛	[人人一,cóng,GB0]
东	[七小,dōng,GB0]
丝	[{纟上}纟,sī,GB0]
丞	[乛水一,chéng_shèng_zhēng_zhěng,GB0]
丢	[壬厶,diū,GB0]
两	[一冂人人,liǎng,GB0]
严	[丌䒑丿,yán,GB0]
丧	[十丷{畏下},sàng_sāng,GB0]
丨	[丨,gǔn,GB0]
个	[人丨,gè_gě_gàn,GB0]
丫	[丷丨,yā,GB0]
丬	[丬,qiáng,GB0]
中	[口丨,zhōng_zhòng,GB0]
丰	[丰,fēng,GB0]
串	[口口丨,chuàn_guàn_quàn,GB0]
临	[〢{⺮右}日,lín,GB0]
丶	[丶,zhǔ,GB0]
丸	[九丶,wán,GB0]
丹	[⺆亠,dān,GB0]
为	[丶力丶,wèi_wéi,GB0]
主	[丶王,zhǔ_zhù,GB0]
丽	[一{冂丶}{冂丶},lì_lí,GB0]
举	[{兴上}八キ,jǔ,GB0]
丿	[丿,piě_yì,GB0]
乃	[乃,nǎi_ǎi,GB0]
久	[冖丶,jiǔ,GB0]
乇	[丿七,tuō_zhé,GB0]
么	[丿厶,me_yāo_mó_ma,GB0]
义	[丶乂,yì,GB0]
之	[之,zhī_zhū_zhì,GB0]
乌	[乌,wū_wù,GB0]
乍	[𠂉{乍下},zhà_zuò,GB0]
乎	[丿丷{于下},hū,GB0]
乏	[丿之,fá,GB0]
乐	[{乐上}小,lè_yuè,GB0]
乒	[斤一丿,pīng,GB0]
乓	[斤一丶,pāng,GB0]
乔	[夭{介下},qiáo,GB0]
乖	[千丬匕,guāi,GB0]
乘	[禾丬匕,chéng_shèng,GB0]
乙	[乙,yǐ_yì_jué,GB0]
乜	[乜,miē_niè,GB0]
九	[九,jiǔ_jiū,GB0]
乞	[𠂉乙,qǐ_qì,GB0]
也	[也,yě_yí,GB0]
习	[习,xí,GB0]
乡	[{纟上}丿,xiāng,GB0]
书	[乛乛丨丶,shū,GB0]
乩	[卜口乚,jī,GB0]
买	[乛⺀大,mǎi,GB0]
乱	[舌乚,luàn,GB0]
乳	[爪子乚,rǔ,GB0]
乾	[十早𠂉乙,qián_gān,GB0]
了	[了,le_liǎo_liào,GB0]
予	[予,yǔ_yú_zhù,GB0]
争	[冖彐亅,zhēng,GB0]
事	[{于下}口彐,shì_zì,GB0]
二	[二,èr,GB0]
亍	[亍,chù,GB0]
于	[一{于下},yú_wéi_yū_xū,GB0]
亏	[一丂,kuī_yú,GB0]
云	[二厶,yún,GB0]
互	[一彑,hù,GB0]
亓	[一丌,qí,GB0]
五	[一{五下},wǔ,GB0]
井	[二{介下},jǐng_jìng,GB0]
亘	[一日一,gèn_xuān_gèng,GB0]
亚	[丌䒑,yà,GB0]
些	[止匕二,xiē_suò_suō,GB0]
亟	[了口又一,jí_qì,GB0]
亠	[亠,tóu,GB0]
亡	[亡,wáng_wú,GB0]
亢	[亠几,kàng_gāng_gēng,GB0]
交	[亠八乂,jiāo,GB0]
亥	[亥,hài_jiē,GB0]
亦	[亦,yì,GB0]
产	[立丿,chǎn,GB0]
亨	[{京頭}了,hēng_xiǎng_pēng,GB0]
亩	[亠田,mǔ,GB0]
享	[{京頭}子,xiǎng,GB0]
京	[{京頭}小,jīng,GB0]
亭	[{亮頭}丁,tíng,GB0]
亮	[{亮頭}几,liàng_liáng,GB0]
亲	[立木,qīn_qìng,GB0]
亳	[{亮頭}丿七,bó,GB0]
亵	[亠扌九𧘇,xiè,GB0]
人	[人,rén,GB0]
亻	[亻,rén,GB0]
亿	[亻乙,yì,GB0]
什	[亻十,shén_shí,GB0]
仁	[亻二,rén,GB0]
仂	[亻力,lè_lì,GB0]
仃	[亻丁,dīng_dǐng,GB0]
仄	[厂人,zè,GB0]
仅	[亻又,jǐn_fù_nú_jìn,GB0]
仆	[亻卜,pū_pú,GB0]
仇	[亻九,chóu_qiú_jū,GB0]
仉	[亻几,zhǎng,GB0]
今	[人丶乛,jīn,GB0]
介	[人{介下},jiè_gè,GB0]
仍	[亻乃,réng,GB0]
从	[人人,cóng_zòng,GB0]
仑	[人匕,lún,GB0]
仓	[人㔾,cāng,GB0]
仔	[亻子,zǎi_zǐ_zī,GB0]
仕	[亻士,shì,GB0]
他	[亻也,tā_tuó,GB0]
仗	[亻{左上}乀,zhàng,GB0]
付	[亻寸,fù,GB0]
仙	[亻山,xiān_xiǎn,GB0]
仝	[人工,tóng,GB0]
仞	[亻刀丶,rèn,GB0]
仟	[亻千,qiān,GB0]
仡	[亻𠂉乙,gē_yì_wù,GB0]
代	[亻弋,dài,GB0]
令	[人丶マ,lìng_líng_lǐng_lián,GB0]
以	[乚丶人,yǐ_sì,GB0]
仨	[亻三,sā,GB0]
仪	[亻丶乂,yí,GB0]
仫	[亻丿厶,mù,GB0]
们	[亻门,men_mén,GB0]
仰	[亻{卬左}卩,yǎng_áng,GB0]
仲	[亻口丨,zhòng,GB0]
仳	[亻匕匕,pǐ_pí_bì,GB0]
仵	[亻𠂉十,wǔ,GB0]
件	[亻牛,jiàn_móu,GB0]
价	[亻人{介下},jià_jie_jiè,GB0]
任	[亻壬,rèn_rén_lìn,GB0]
份	[亻八刀,fèn_bīn,GB0]
仿	[亻方,fǎng_páng,GB0]
企	[人止,qǐ,GB0]
伉	[亻亠几,kàng_gāng_kǎng,GB0]
伊	[亻彐丿,yī,GB0]
伍	[亻一{五下},wǔ,GB0]
伎	[亻十又,jì_zhì_qí_qì,GB0]
伏	[亻犬,fú_fù,GB0]
伐	[亻戈,fá,GB0]
休	[亻木,xiū_xù,GB0]
众	[人人人,zhòng_yín,GB0]
优	[亻尤,yōu_yóu,GB0]
伙	[亻火,huǒ_huo,GB0]
会	[人二厶,huì_kuài,GB0]
伛	[亻匚乂,yǔ,GB0]
伞	[人丷十,sǎn,GB0]
伟	[亻キ乛,wěi,GB0]
传	[亻二㇉丶,chuán_zhuàn,GB0]
伢	[亻牙,yá,GB0]
